"Source:","C:\Users\Helmut Lord\Documents\Phase90++\phase90plusplus.kicad_sch"
"Date:","5/4/2022 3:37:26 PM"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","56"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BT1, ","1","9V DC","Battery_Cell","Connector_JST:JST_EH_S2B-EH_1x02_P2.50mm_Horizontal","Single-cell battery",""
"C1, ","1","0.01u","C_Small","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","Unpolarized capacitor, small symbol",""
"C2, C3, C4, C5, C6, C7, ","6","47n","C_Small","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","Unpolarized capacitor, small symbol",""
"C8, ","1","4n7","C_Small","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","Unpolarized capacitor, small symbol",""
"C9, ","1","15u","C_Polarized_Small","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","Polarized capacitor, small symbol",""
"C10, ","1","47nF","C_Small","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","Unpolarized capacitor, small symbol",""
"C11, C12, ","2","100n","C_Small","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","Unpolarized capacitor, small symbol",""
"D1, ","1","LED","LED","LED_THT:LED_D3.0mm","Light emitting diode",""
"D2, ","1","1N914","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","100V 0.3A Small Signal Fast Switching Diode, DO-35",""
"D3, ","1","Zener","D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","Zener diode",""
"J1, ","1","InputJack","AudioJack3_Dual_Switch_1","Connector_Audio:Jack_6.35mm_Neutrik_NRJ6HM-1_Horizontal","Audio Jack, Dual, 3 Poles (Stereo / TRS), Switched Poles (Normalling)",""
"J2, ","1","OutputJack","AudioJack3_Dual_Switch","Connector_Audio:Jack_6.35mm_Neutrik_NRJ6HM-1_Horizontal","Audio Jack, Dual, 3 Poles (Stereo / TRS), Switched Poles (Normalling)",""
"J3, ","1","Barrel_Jack_Switch","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Horizontal","DC Barrel Jack with an internal switch",""
"LFO1, ","1","STOMPLFO_DIP8","STOMPLFO_DIP8","Package_DIP:DIP-8_W7.62mm_Socket","",""
"Q1, Q2, Q3, Q4, ","4","2N7000","BF245A","Package_TO_SOT_THT:TO-92_Inline","50mA Id, 30V Vgs, N-Channel FET Transistor, TO-92",""
"R1, R2, R3, R4, R6, R7, R8, R9, R21, R22, R23, R24, ","12","10K","R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small US symbol",""
"R5, R10, ","2","150K","R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small US symbol",""
"R11, R13, ","2","500k","R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small US symbol",""
"R12, ","1","500","R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small US symbol",""
"R14, R15, R16, R17, ","4","24K","R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small US symbol",""
"R18, ","1","150k","R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small US symbol",""
"R19, ","1","370","R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small US symbol",""
"R20, ","1","100K","R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small US symbol",""
"R25, R26, ","2","1K","R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small US symbol",""
"RV1, RV2, RV3, ","3","10k","R_Potentiometer_US","Connector_Wire:SolderWire-0.1sqmm_1x03_P3.6mm_D0.4mm_OD1mm_Relief","Potentiometer, US symbol",""
"S1, ","1","SWITCH-3PDT-PTH-STOMP","SWITCH-3PDT-PTH-STOMP","Switches:STOMP_SWITCH_3PDT","3-Pole, Double-Throw (3PDT) Switch Three-pole, double-throw stomp switch. Drawn as three separate gates for schematic clarity. <h4>SparkFun Products</h4><ul><li>Used in <a href=""https://www.sparkfun.com/products/13124"">SparkFun Proto Pedal</a> (PRT-13124)</li></ul>",""
"U1, ","1","TL074","TL074","Package_DIP:DIP-14_W7.62mm","Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14",""
"U2, ","1","TL072","TL072","Package_DIP:DIP-8_W7.62mm","Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",""
